Domains,IP Address
google.co.in,108.177.11.94
amazon.in,52.95.116.115
snackvideo.in,Resolution failed: [Errno -5] No address associated with hostname
uidai.gov.in,103.57.226.101
gst.gov.in,103.83.78.25
livescore.in,35.190.63.169
epfindia.gov.in,164.100.160.96
aajtak.in,23.210.92.121
screener.in,3.7.241.105
pmkisan.gov.in,34.93.80.85
sattamatkachart.in,172.67.74.226
lotterysambadresult.in,104.21.112.1
satta-king-fixed-no.in,172.67.223.50
kolkataff.in,104.21.48.1
spboss.in,104.18.2.12
mnregaweb4.nic.in,164.100.129.6
nregastrep.nic.in,164.100.70.11
brainly.in,104.18.222.240
udiseplus.gov.in,164.100.229.70
upsconline.gov.in,45.127.75.106
sattasport.in,172.67.175.247
eci.gov.in,164.100.229.115
rrbapply.gov.in,43.205.100.85
lnkd.in,150.171.22.12
aeropres.in,Resolution failed: [Errno -5] No address associated with hostname
probo.in,18.64.174.104
indiatoday.in,23.210.92.123
pfms.nic.in,164.100.128.140
hubble.in,50.16.228.91
ctrls.in,206.1.14.86
groww.in,104.18.37.214
mca.gov.in,182.79.115.26
tripadvisor.in,151.101.2.28
registry.in,43.204.106.192
businesstoday.in,23.48.246.204
goindigo.in,43.205.43.164
freebitco.in,172.66.42.243
bajajfinserv.in,23.203.102.45
airtel.in,125.16.74.90
maharashtra.gov.in,103.8.188.109
rajasthan.gov.in,103.122.36.246
bihar.gov.in,164.100.130.105
olx.in,52.45.10.250
incometax.gov.in,Resolution failed: [Errno -5] No address associated with hostname
karnataka.gov.in,103.138.196.75
tn.gov.in,218.248.29.65
irctc.co.in,103.252.142.27
angelone.in,172.64.149.79
dailyhunt.in,34.49.48.218
zepto.co.in,99.83.190.102
goodreturns.in,104.18.39.70
telangana.gov.in,103.122.128.143
up.gov.in,164.100.181.61
tracktor.in,5.199.162.247
nobroker.in,34.98.82.31
cashify.in,18.239.225.125
wb.gov.in,202.61.117.51
licindia.in,64.185.181.238
parivahan.gov.in,164.100.94.113
indianrail.gov.in,203.176.113.78
redbus.in,18.139.56.117
ndtv.in,23.203.101.29
nptel.ac.in,216.239.34.21
gem.gov.in,160.187.232.12
ewaybillgst.gov.in,164.100.78.248
blogspot.in,173.194.216.191
glassdoor.co.in,104.16.197.68
skyscanner.co.in,76.223.21.241
upsdc.gov.in,164.100.181.199
teletype.in,104.26.6.241
mxplayer.in,108.157.173.32
indiatv.in,52.66.130.100
digitallocker.gov.in,3.111.202.19
ulluuncut.in,104.26.7.162
learncbse.in,172.67.71.63
mtnl.net.in,59.176.171.49
railyatri.in,104.18.5.199
apollopharmacy.in,35.201.84.36
indianoil.in,202.54.61.117
iobnet.co.in,Resolution failed: [Errno -5] No address associated with hostname
linkmake.in,104.21.50.160
betswiz.in,104.21.4.141
careerpower.in,3.166.135.79
csc.gov.in,164.100.115.10
ssc.gov.in,103.195.217.13
masalaseen.in,172.67.162.254
shopsy.in,163.53.76.155
watchlakorn.in,172.67.213.102
callbomberz.in,172.67.176.9
unionbankonline.co.in,59.160.35.102
poshantracker.in,65.0.42.30
samagra.gov.in,103.86.26.126
ncccc.in,172.67.71.228
flashscore.in,34.96.84.62
pnbibanking.in,103.109.225.175
gali-result.in,172.67.72.119
winbuzz.co.in,13.249.39.115
egramswaraj.gov.in,164.100.128.240
upbhulekh.gov.in,164.100.59.147
skokka.in,172.64.155.128
steptest.in,104.155.213.111
wcd.gov.in,164.100.85.115
dear-lottery.in,172.67.163.245
mpbhulekh.gov.in,164.100.196.77
mpbreakingnews.in,103.76.249.190
awsar-dst.in,143.110.251.109
majhinaukri.in,192.124.249.10
nta.nic.in,164.100.118.218
ncert.nic.in,164.100.166.133
examinationservices.nic.in,164.100.118.219
nrega.nic.in,164.100.192.125
businessinsider.in,23.204.17.117
cgg.gov.in,159.60.135.4
allevents.in,104.18.11.239
adjust.net.in,185.151.204.30
haryana.gov.in,164.100.50.25
hamyar.in,213.108.241.106
indiapostgdsonline.gov.in,103.122.25.147
hrylabour.gov.in,117.239.177.150
sticonline.in,104.21.32.1
nreganarep.nic.in,164.100.70.47
mponline.gov.in,103.36.71.71
mohfw.gov.in,164.100.166.54
apidatamaster.in,Resolution failed: [Errno -5] No address associated with hostname
ernet.in,144.16.144.11
librecruitmentbirbhum.in,172.67.68.159
anime-world.in,Resolution failed: [Errno -5] No address associated with hostname
isaimini.am.in,104.21.73.138
jalshamoviez.ind.in,172.67.188.23
isaimini.firm.in,104.21.64.48
theprint.in,3.162.103.92
india.gov.in,164.100.61.151
sweatco.in,104.21.69.160
google.in,172.217.203.104
mp.gov.in,103.94.206.207
logme.in,20.105.155.184
indiapost.gov.in,103.244.124.138
oceansaver.in,Resolution failed: [Errno -5] No address associated with hostname
npci.org.in,23.203.48.174
zoho.in,103.103.196.97
decathlon.in,104.18.10.190
passportindia.gov.in,111.93.222.135
hpcl.co.in,Resolution failed: [Errno -5] No address associated with hostname
samarth.edu.in,3.108.128.181
vogue.in,151.101.130.133
mahadiscom.in,43.204.63.253
sbi.co.in,103.209.96.176
cisf.gov.in,164.100.59.138
90fpsconfig.in,104.21.5.200
cbseit.in,59.179.16.89
digit.in,3.166.160.4
pharmeasy.in,23.203.48.194
